part_index,part_name,measure_number,abs_measure_index,staff,voice,beat,beat_pos,offset_ql_in_measure,start_ql,duration_ql,pitch_name,midi,global_beat
0,Score,26,25,2,,1,0.667,1.000,76.000,2.000,F#3,54,61
0,Score,26,25,2,,1,0.667,1.000,76.000,2.000,A3,57,61
0,Score,26,25,2,,1,0.667,1.000,76.000,2.000,D4,62,61
0,Score,26,25,1,,2,0.333,2.000,77.000,1.000,D5,74,62
0,Score,27,26,1,,1,0.000,0.000,78.000,1.000,E5,76,63
0,Score,27,26,2,,1,0.000,0.000,78.000,3.000,D2,38,63
0,Score,27,26,1,,2,0.000,1.000,79.000,1.000,F5,77,64
0,Score,27,26,2,,2,0.000,1.000,79.000,2.000,A3,57,64
0,Score,27,26,2,,2,0.000,1.000,79.000,2.000,C4,60,64
0,Score,27,26,2,,2,0.000,1.000,79.000,2.000,F4,65,64
0,Score,27,26,1,,3,0.000,2.000,80.000,1.000,G5,79,65
0,Score,28,27,1,,1,0.000,0.000,81.000,1.000,A5,81,66
0,Score,28,27,2,,1,0.000,0.000,81.000,3.000,D2,38,66
0,Score,28,27,1,,2,0.000,1.000,82.000,1.000,C5,72,67
0,Score,28,27,2,,2,0.000,1.000,82.000,2.000,A3,57,67
0,Score,28,27,2,,2,0.000,1.000,82.000,2.000,C4,60,67
0,Score,28,27,2,,2,0.000,1.000,82.000,2.000,E4,64,67
0,Score,28,27,1,,3,0.000,2.000,83.000,1.000,D5,74,68
0,Score,29,28,1,,1,0.000,0.000,84.000,1.000,E5,76,69
0,Score,29,28,2,,1,0.000,0.000,84.000,3.000,D2,38,69
0,Score,29,28,1,,2,0.000,1.000,85.000,1.000,D5,74,70
0,Score,29,28,2,,2,0.000,1.000,85.000,2.000,D3,50,70
0,Score,29,28,2,,2,0.000,1.000,85.000,2.000,G3,55,70
0,Score,29,28,2,,2,0.000,1.000,85.000,2.000,B3,59,70
0,Score,29,28,2,,2,0.000,1.000,85.000,2.000,E4,64,70
0,Score,29,28,1,,3,0.000,2.000,86.000,1.000,B4,71,71
0,Score,30,29,1,,1,0.000,0.000,87.000,3.000,D5,74,72
0,Score,30,29,2,,1,0.000,0.000,87.000,3.000,D2,38,72
0,Score,30,29,2,,1,0.333,1.000,88.000,2.000,C3,48,73
